stock_id,name
4961,天鈺
2546,根基
8210,勤誠
4766,南寶
3419,譁裕
9931,欣高
2239,英利-KY
4746,台耀
8016,矽創
4576,大銀微系統
4119,旭富
6277,宏正
4739,康普
3501,維熹
2722,夏都
1589,永冠-KY
8261,富鼎
6869,雲豹能源-創
6133,金橋
2430,燦坤
6226,光鼎
4552,力達-KY
4943,康控-KY
6136,富爾特
3027,盛達
4551,智伸科
3055,蔚華科
3346,麗清
2397,友通
2493,揚博
3504,揚明光
6141,柏承
3032,偉訓
3406,玉晶光
3011,今皓
2762,世界健身-KY
8374,羅昇
3533,嘉澤
6581,鋼聯
1466,聚隆
2431,聯昌
8482,商億-KY
1583,程泰
6606,建德工業
2929,淘帝-KY
8422,可寧衛
9944,新麗
2483,百容
4952,凌通
2375,凱美
6753,龍德造船
6451,訊芯-KY
6854,錼創科技-KY創
8114,振樺電
1453,大將
3092,鴻碩
2480,敦陽科
6582,申豐
2748,雲品
2459,敦吉
2712,遠雄來
5258,虹堡
2241,艾姆勒
4720,德淵
1465,偉全
4438,廣越
9955,佳龍
1568,倉佑
6534,正瀚-創
5234,達興材料
5285,界霖
3002,歐格
2444,兆勁
2739,寒舍
6472,保瑞
6873,泓德能源-創
9929,秋雨
1752,南光
4106,雃博
4755,三福化
4956,光鋐
1805,寶徠
4722,國精化
6164,華興
2453,凌群
1733,五鼎
1436,華友聯
1423,利華
2115,六暉-KY
1735,日勝化
6281,全國電
1315,達新
1533,車王電
3708,上緯投控
4916,事欣科
1512,瑞利
9902,台火
2024,志聯
3413,京鼎
3321,同泰
3296,勝德
1530,亞崴
2425,承啟
6695,芯鼎
6415,矽力*-KY
6192,巨路
3021,鴻名
2642,宅配通
4736,泰博
2059,川湖
4540,全球傳動
6558,興能高
1456,怡華
2731,雄獅
3593,力銘
3669,圓展
6216,居易
3057,喬鼎
1439,雋揚
1323,永裕
6668,中揚光
1438,三地開發
4566,時碩工業
3617,碩天
4536,拓凱
4968,立積
1233,天仁
1432,大魯閣
2415,錩新
3356,奇偶
8996,高力
3543,州巧
1597,直得
6201,亞弘電
1783,和康生
6449,鈺邦
8478,東哥遊艇
6117,迎廣
6834,天二科技
6691,洋基工程
3338,泰碩
8367,建新國際
6409,旭隼
6155,鈞寶
3550,聯穎
4562,穎漢
1236,宏亞
3454,晶睿
3164,景岳
6230,尼得科超眾
4763,材料-KY
8081,致新
