rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
37,2892,第一金,28.6,1.39,-1.72,-0.69,6.99,47.3,0,,-6515958.0,-583315.0,1817134.0,-616728.0,False,True,0.0,38.28,19.91,未通過,通過
38,4967,十銓,219.5,1.12,-0.23,1.67,22.21,50.1,0,120.5,-2723247.0,-1000.0,-4202175.0,-10000.0,False,False,0.0,0.0,0.0,量比1.12,量比1.12
39,5434,崇越,401.0,1.52,9.71,21.15,10.31,74.9,2,30.6,735428.0,-2349.0,985737.0,10807.0,False,False,0.0,0.0,0.0,未通過,漲幅9.7%
40,4904,遠傳,94.6,0.79,-0.73,1.85,3.82,56.7,4,3.6,432404.0,-838876.0,3826530.0,224095.0,False,False,0.0,0.0,0.0,量比0.79,量比0.79
41,5388,中磊,84.1,1.08,-2.66,6.72,10.29,59.8,1,86.5,-1217140.0,1000.0,3937790.0,1000.0,False,False,0.0,0.0,0.0,量比1.08,量比1.08；漲幅-2.7%
42,4961,天鈺,153.0,1.08,0.33,4.87,1.78,59.6,0,2.1,-107172.0,-12389.0,-318186.0,-20389.0,False,False,0.0,0.0,0.0,量比1.08；成交額不足,量比1.08；成交額不足
43,4906,正文,40.2,0.83,0.0,24.84,30.84,66.5,0,-39.8,-6373115.0,-17061.0,-22865.0,-27769.0,False,False,0.0,0.0,0.0,量比0.83,量比0.83
44,3149,正達,41.4,1.18,1.47,-10.6,2.21,40.1,1,-25.1,901000.0,0.0,903000.0,0.0,False,False,0.0,0.0,0.0,量比1.18；成交額不足,量比1.18；成交額不足
45,4960,誠美材,23.0,1.39,9.79,5.6,5.33,55.1,0,-23.9,-2264000.0,0.0,-5072950.0,0.0,False,False,0.0,0.0,0.0,未通過,漲幅9.8%
46,4919,新唐,91.6,1.04,1.78,2.29,9.31,53.3,0,-6.1,-660177.0,-7000.0,-619177.0,-4000.0,False,False,0.0,0.0,0.0,量比1.04,量比1.04
47,4958,臻鼎-KY,265.0,0.88,0.57,29.53,89.2,71.5,12,7.2,-8630467.0,683001.0,-4727413.0,1384753.0,False,False,0.0,0.0,0.0,量比0.88；乖離29.5%,量比0.88；乖離29.5%
48,4927,泰鼎-KY,43.85,1.4,-3.41,0.11,6.2,54.0,0,-10.7,-2699000.0,0.0,-811454.0,0.0,False,False,0.0,0.0,0.0,未通過,漲幅-3.4%
49,4766,南寶,365.5,3.24,9.92,12.88,12.46,67.2,2,17.4,26294.0,-1000.0,86294.0,-1000.0,False,False,0.0,0.0,0.0,未通過,漲幅9.9%
